"vendor","name","usage","documentation_url","version","note","method_url","parameter","citation"
"Schloss Lab - University of Michigan","R phylotypr package","classification of sequences","https://mothur.org/phylotypr/","0.1.1","classification using Bayesian method","doi:10.1128/mra.01144-24","kmer_size=8,num_bootstraps=100,min_confidence=80","@article{doi:10.1128/AEM.00062-07, author = {Qiong Wang and George M. Garrity and James M. Tiedje and James R. Cole}, title = {Naïve Bayesian Classifier for Rapid Assignment of rRNA Sequences into the New Bacterial Taxonomy}, journal = {Applied and Environmental Microbiology}, volume = {73}, number = {16}, pages = {5261-5267}, year = {2007}, doi = {10.1128/AEM.00062-07}, URL = {https://journals.asm.org/doi/abs/10.1128/aem.00062-07}, eprint = {https://journals.asm.org/doi/pdf/10.1128/aem.00062-07}}"
"SILVA","silva.bacteria.fasta","alignment of sequences","https://mothur.org/wiki/silva_reference_files/","1.38.1","alignment reference trimmed to V4 region",NA,NA,NA
