names	abundances	samples	treatments
M00967_43_000000000-A3JHG_1_2112_21752_23067	6	F3D5	Early
M00967_43_000000000-A3JHG_1_2112_21752_23067	4	F3D6	Early
M00967_43_000000000-A3JHG_1_2112_21752_23067	1	F3D7	Early
M00967_43_000000000-A3JHG_1_2112_21752_23067	8	F3D8	Early
M00967_43_000000000-A3JHG_1_2112_21752_23067	1	F3D9	Early
M00967_43_000000000-A3JHG_1_1106_8718_15420	3	F3D1	Early
M00967_43_000000000-A3JHG_1_1106_8718_15420	1	F3D142	Late
M00967_43_000000000-A3JHG_1_1106_8718_15420	5	F3D5	Early
M00967_43_000000000-A3JHG_1_1106_8718_15420	7	F3D9	Early
M00967_43_000000000-A3JHG_1_1102_27414_13728	1	F3D150	Late
M00967_43_000000000-A3JHG_1_2102_11553_9071	1	F3D147	Late
M00967_43_000000000-A3JHG_1_1102_11158_17229	1	F3D9	Early
M00967_43_000000000-A3JHG_1_1104_23849_8759	1	F3D5	Early
M00967_43_000000000-A3JHG_1_1107_24854_21229	21	F3D0	Early
M00967_43_000000000-A3JHG_1_1107_24854_21229	15	F3D141	Late
M00967_43_000000000-A3JHG_1_1107_24854_21229	22	F3D142	Late
M00967_43_000000000-A3JHG_1_1107_24854_21229	8	F3D143	Late
M00967_43_000000000-A3JHG_1_1107_24854_21229	20	F3D144	Late
M00967_43_000000000-A3JHG_1_1107_24854_21229	5	F3D145	Late
M00967_43_000000000-A3JHG_1_1107_24854_21229	3	F3D146	Late
M00967_43_000000000-A3JHG_1_1107_24854_21229	23	F3D147	Late
M00967_43_000000000-A3JHG_1_1107_24854_21229	60	F3D148	Late
M00967_43_000000000-A3JHG_1_1107_24854_21229	23	F3D149	Late
M00967_43_000000000-A3JHG_1_1107_24854_21229	16	F3D150	Late
M00967_43_000000000-A3JHG_1_1107_24854_21229	4	F3D2	Early
M00967_43_000000000-A3JHG_1_1107_24854_21229	15	F3D3	Early
M00967_43_000000000-A3JHG_1_1109_8621_15527	1	F3D149	Late
M00967_43_000000000-A3JHG_1_1110_7982_9474	1	F3D145	Late
M00967_43_000000000-A3JHG_1_2102_7671_11355	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2114_10056_13609	1	F3D148	Late
M00967_43_000000000-A3JHG_1_2105_18070_5688	1	F3D2	Early
M00967_43_000000000-A3JHG_1_1112_10190_23278	1	F3D145	Late
M00967_43_000000000-A3JHG_1_2105_10725_6078	2	F3D0	Early
M00967_43_000000000-A3JHG_1_2105_10725_6078	2	F3D147	Late
M00967_43_000000000-A3JHG_1_2105_10725_6078	1	F3D148	Late
M00967_43_000000000-A3JHG_1_2105_10725_6078	2	F3D150	Late
M00967_43_000000000-A3JHG_1_2105_10725_6078	2	F3D3	Early
M00967_43_000000000-A3JHG_1_2108_5933_20471	1	F3D150	Late
M00967_43_000000000-A3JHG_1_1104_17143_19056	1	F3D148	Late
M00967_43_000000000-A3JHG_1_1112_9301_13162	1	F3D143	Late
M00967_43_000000000-A3JHG_1_2105_10730_3162	1	F3D145	Late
M00967_43_000000000-A3JHG_1_2110_18983_13738	1	F3D143	Late
M00967_43_000000000-A3JHG_1_2113_13714_22583	1	F3D2	Early
M00967_43_000000000-A3JHG_1_2105_18677_14481	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2103_28700_17194	1	F3D2	Early
M00967_43_000000000-A3JHG_1_1106_18148_6365	1	F3D143	Late
M00967_43_000000000-A3JHG_1_2111_29227_17392	1	F3D0	Early
M00967_43_000000000-A3JHG_1_2114_15143_1651	1	F3D1	Early
M00967_43_000000000-A3JHG_1_2112_8454_7758	1	F3D2	Early
M00967_43_000000000-A3JHG_1_2103_20753_25954	1	F3D148	Late
M00967_43_000000000-A3JHG_1_1102_10298_5101	1	F3D149	Late
M00967_43_000000000-A3JHG_1_1112_10073_3247	1	F3D149	Late
M00967_43_000000000-A3JHG_1_2111_28641_13458	1	F3D150	Late
M00967_43_000000000-A3JHG_1_1112_7981_6310	1	F3D149	Late
M00967_43_000000000-A3JHG_1_2104_13757_8649	1	F3D143	Late
M00967_43_000000000-A3JHG_1_2104_10372_21530	1	F3D145	Late
M00967_43_000000000-A3JHG_1_2104_10372_21530	2	F3D149	Late
M00967_43_000000000-A3JHG_1_2104_10372_21530	4	F3D150	Late
M00967_43_000000000-A3JHG_1_2104_10372_21530	1	F3D7	Early
M00967_43_000000000-A3JHG_1_1105_20464_8555	1	F3D149	Late
M00967_43_000000000-A3JHG_1_1114_6229_5326	1	F3D6	Early
M00967_43_000000000-A3JHG_1_1105_15878_26239	4	F3D141	Late
M00967_43_000000000-A3JHG_1_1105_15878_26239	1	F3D142	Late
M00967_43_000000000-A3JHG_1_1105_15878_26239	1	F3D144	Late
M00967_43_000000000-A3JHG_1_1105_15878_26239	1	F3D145	Late
M00967_43_000000000-A3JHG_1_1105_15878_26239	1	F3D146	Late
M00967_43_000000000-A3JHG_1_1105_15878_26239	2	F3D147	Late
M00967_43_000000000-A3JHG_1_1105_15878_26239	1	F3D148	Late
M00967_43_000000000-A3JHG_1_1105_15878_26239	4	F3D149	Late
M00967_43_000000000-A3JHG_1_1105_15878_26239	2	F3D150	Late
M00967_43_000000000-A3JHG_1_2107_6956_16009	2	F3D0	Early
M00967_43_000000000-A3JHG_1_2107_6956_16009	12	F3D141	Late
M00967_43_000000000-A3JHG_1_2107_6956_16009	1	F3D142	Late
M00967_43_000000000-A3JHG_1_2107_6956_16009	7	F3D143	Late
M00967_43_000000000-A3JHG_1_2107_6956_16009	3	F3D144	Late
M00967_43_000000000-A3JHG_1_2107_6956_16009	1	F3D145	Late
M00967_43_000000000-A3JHG_1_2107_6956_16009	3	F3D146	Late
M00967_43_000000000-A3JHG_1_2107_6956_16009	6	F3D147	Late
M00967_43_000000000-A3JHG_1_2107_6956_16009	11	F3D148	Late
M00967_43_000000000-A3JHG_1_2107_6956_16009	23	F3D149	Late
M00967_43_000000000-A3JHG_1_2107_6956_16009	12	F3D150	Late
M00967_43_000000000-A3JHG_1_2107_6956_16009	3	F3D2	Early
M00967_43_000000000-A3JHG_1_2107_6956_16009	1	F3D3	Early
M00967_43_000000000-A3JHG_1_2107_6956_16009	1	F3D5	Early
M00967_43_000000000-A3JHG_1_2107_6956_16009	2	F3D6	Early
M00967_43_000000000-A3JHG_1_2107_6956_16009	1	F3D9	Early
M00967_43_000000000-A3JHG_1_2111_6887_10490	1	F3D0	Early
M00967_43_000000000-A3JHG_1_2102_22167_26446	1	F3D141	Late
M00967_43_000000000-A3JHG_1_2102_26655_15452	1	F3D143	Late
M00967_43_000000000-A3JHG_1_1114_13389_13295	1	F3D143	Late
M00967_43_000000000-A3JHG_1_1114_13389_13295	1	F3D9	Early
M00967_43_000000000-A3JHG_1_1112_19287_12246	1	F3D5	Early
M00967_43_000000000-A3JHG_1_2111_21247_15845	1	F3D2	Early
M00967_43_000000000-A3JHG_1_2111_21247_15845	1	F3D6	Early
M00967_43_000000000-A3JHG_1_1102_11222_12600	1	F3D2	Early
M00967_43_000000000-A3JHG_1_2104_18217_19581	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2105_15139_15368	1	F3D148	Late
M00967_43_000000000-A3JHG_1_2113_24996_25271	1	F3D146	Late
M00967_43_000000000-A3JHG_1_1102_2114_15227	1	F3D0	Early
M00967_43_000000000-A3JHG_1_2114_20979_14273	1	F3D5	Early
M00967_43_000000000-A3JHG_1_2102_15692_18713	2	F3D0	Early
M00967_43_000000000-A3JHG_1_2102_15692_18713	1	F3D1	Early
M00967_43_000000000-A3JHG_1_2102_15692_18713	2	F3D141	Late
M00967_43_000000000-A3JHG_1_2102_15692_18713	1	F3D143	Late
M00967_43_000000000-A3JHG_1_2102_15692_18713	1	F3D145	Late
