names	abundances	samples	treatments
M00967_43_000000000-A3JHG_1_1105_23025_12058	1	F3D150	Late
M00967_43_000000000-A3JHG_1_1105_23025_12058	1	F3D8	Early
M00967_43_000000000-A3JHG_1_2111_7333_20307	1	F3D5	Early
M00967_43_000000000-A3JHG_1_2105_23092_9359	1	F3D146	Late
M00967_43_000000000-A3JHG_1_1106_14256_14203	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2103_8111_16669	1	F3D5	Early
M00967_43_000000000-A3JHG_1_2102_26214_23057	1	F3D148	Late
M00967_43_000000000-A3JHG_1_1107_6417_21653	1	F3D0	Early
M00967_43_000000000-A3JHG_1_1107_6417_21653	4	F3D148	Late
M00967_43_000000000-A3JHG_1_1107_6417_21653	5	F3D150	Late
M00967_43_000000000-A3JHG_1_2111_12365_24314	1	F3D9	Early
M00967_43_000000000-A3JHG_1_1108_21553_18669	1	F3D9	Early
M00967_43_000000000-A3JHG_1_1102_11324_6735	1	F3D141	Late
M00967_43_000000000-A3JHG_1_1107_8474_16938	1	F3D145	Late
M00967_43_000000000-A3JHG_1_2109_9362_22992	1	F3D5	Early
M00967_43_000000000-A3JHG_1_1106_16049_12791	1	F3D144	Late
M00967_43_000000000-A3JHG_1_1106_16049_12791	1	F3D149	Late
M00967_43_000000000-A3JHG_1_1107_8149_24158	1	F3D141	Late
M00967_43_000000000-A3JHG_1_1107_8149_24158	1	F3D144	Late
M00967_43_000000000-A3JHG_1_1107_8149_24158	2	F3D147	Late
M00967_43_000000000-A3JHG_1_1107_8149_24158	1	F3D148	Late
M00967_43_000000000-A3JHG_1_1110_18844_27717	1	F3D149	Late
M00967_43_000000000-A3JHG_1_2102_16703_5011	1	F3D149	Late
M00967_43_000000000-A3JHG_1_1112_20127_11122	5	F3D0	Early
M00967_43_000000000-A3JHG_1_1112_20127_11122	29	F3D1	Early
M00967_43_000000000-A3JHG_1_1112_20127_11122	3	F3D141	Late
M00967_43_000000000-A3JHG_1_1112_20127_11122	3	F3D143	Late
M00967_43_000000000-A3JHG_1_1112_20127_11122	1	F3D144	Late
M00967_43_000000000-A3JHG_1_1112_20127_11122	7	F3D145	Late
M00967_43_000000000-A3JHG_1_1112_20127_11122	9	F3D146	Late
M00967_43_000000000-A3JHG_1_1112_20127_11122	6	F3D148	Late
M00967_43_000000000-A3JHG_1_1112_20127_11122	11	F3D149	Late
M00967_43_000000000-A3JHG_1_1112_20127_11122	7	F3D150	Late
M00967_43_000000000-A3JHG_1_1112_20127_11122	68	F3D2	Early
M00967_43_000000000-A3JHG_1_1112_20127_11122	5	F3D3	Early
M00967_43_000000000-A3JHG_1_1112_20127_11122	8	F3D5	Early
M00967_43_000000000-A3JHG_1_1112_20127_11122	12	F3D6	Early
M00967_43_000000000-A3JHG_1_1112_20127_11122	2	F3D7	Early
M00967_43_000000000-A3JHG_1_1112_20127_11122	25	F3D8	Early
M00967_43_000000000-A3JHG_1_1112_20127_11122	20	F3D9	Early
M00967_43_000000000-A3JHG_1_2108_22189_18381	1	F3D1	Early
M00967_43_000000000-A3JHG_1_1106_5620_18651	1	F3D145	Late
M00967_43_000000000-A3JHG_1_1112_27925_17349	1	F3D8	Early
M00967_43_000000000-A3JHG_1_2114_16268_21350	1	F3D148	Late
M00967_43_000000000-A3JHG_1_2112_23298_24981	1	F3D144	Late
M00967_43_000000000-A3JHG_1_2112_23298_24981	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2106_17741_19018	1	F3D146	Late
M00967_43_000000000-A3JHG_1_2102_12263_16584	1	F3D0	Early
M00967_43_000000000-A3JHG_1_1111_13108_10829	4	F3D142	Late
M00967_43_000000000-A3JHG_1_2114_17684_11765	1	F3D9	Early
M00967_43_000000000-A3JHG_1_2110_5187_18269	1	F3D6	Early
M00967_43_000000000-A3JHG_1_2107_10803_20222	1	F3D1	Early
M00967_43_000000000-A3JHG_1_1114_24795_10657	1	F3D150	Late
M00967_43_000000000-A3JHG_1_2113_13747_4412	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2103_11158_26523	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2106_3727_12917	1	F3D147	Late
M00967_43_000000000-A3JHG_1_1110_12737_15531	1	F3D144	Late
M00967_43_000000000-A3JHG_1_1110_12737_15531	1	F3D145	Late
M00967_43_000000000-A3JHG_1_1114_21515_19829	2	F3D0	Early
M00967_43_000000000-A3JHG_1_1114_21515_19829	1	F3D1	Early
M00967_43_000000000-A3JHG_1_1114_21515_19829	1	F3D2	Early
M00967_43_000000000-A3JHG_1_1114_21515_19829	1	F3D9	Early
M00967_43_000000000-A3JHG_1_2111_5740_11365	1	F3D144	Late
M00967_43_000000000-A3JHG_1_2111_5740_11365	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2111_5740_11365	2	F3D148	Late
M00967_43_000000000-A3JHG_1_2111_5740_11365	1	F3D149	Late
M00967_43_000000000-A3JHG_1_2111_5740_11365	4	F3D150	Late
M00967_43_000000000-A3JHG_1_2111_5740_11365	1	F3D7	Early
M00967_43_000000000-A3JHG_1_2111_5740_11365	1	F3D8	Early
M00967_43_000000000-A3JHG_1_1112_24233_22070	1	F3D1	Early
M00967_43_000000000-A3JHG_1_1112_24233_22070	11	F3D141	Late
M00967_43_000000000-A3JHG_1_1112_24233_22070	1	F3D142	Late
M00967_43_000000000-A3JHG_1_1112_24233_22070	5	F3D143	Late
M00967_43_000000000-A3JHG_1_1112_24233_22070	5	F3D144	Late
M00967_43_000000000-A3JHG_1_1112_24233_22070	10	F3D145	Late
M00967_43_000000000-A3JHG_1_1112_24233_22070	12	F3D146	Late
M00967_43_000000000-A3JHG_1_1112_24233_22070	4	F3D147	Late
M00967_43_000000000-A3JHG_1_1112_24233_22070	17	F3D148	Late
M00967_43_000000000-A3JHG_1_1112_24233_22070	34	F3D149	Late
M00967_43_000000000-A3JHG_1_1112_24233_22070	14	F3D150	Late
M00967_43_000000000-A3JHG_1_1112_24233_22070	9	F3D2	Early
M00967_43_000000000-A3JHG_1_1112_24233_22070	4	F3D5	Early
M00967_43_000000000-A3JHG_1_1112_24233_22070	5	F3D6	Early
M00967_43_000000000-A3JHG_1_1112_24233_22070	3	F3D7	Early
M00967_43_000000000-A3JHG_1_1112_24233_22070	3	F3D8	Early
M00967_43_000000000-A3JHG_1_1112_24233_22070	6	F3D9	Early
M00967_43_000000000-A3JHG_1_1113_9276_24879	9	F3D141	Late
M00967_43_000000000-A3JHG_1_1113_9276_24879	5	F3D142	Late
M00967_43_000000000-A3JHG_1_1113_9276_24879	3	F3D143	Late
M00967_43_000000000-A3JHG_1_1113_9276_24879	1	F3D144	Late
M00967_43_000000000-A3JHG_1_1113_9276_24879	5	F3D145	Late
M00967_43_000000000-A3JHG_1_1113_9276_24879	12	F3D146	Late
M00967_43_000000000-A3JHG_1_1113_9276_24879	13	F3D147	Late
M00967_43_000000000-A3JHG_1_1113_9276_24879	14	F3D148	Late
M00967_43_000000000-A3JHG_1_1113_9276_24879	52	F3D149	Late
M00967_43_000000000-A3JHG_1_1113_9276_24879	16	F3D150	Late
M00967_43_000000000-A3JHG_1_2104_25692_5505	1	F3D6	Early
M00967_43_000000000-A3JHG_1_2106_15186_22937	1	F3D148	Late
M00967_43_000000000-A3JHG_1_1110_21538_17471	1	F3D145	Late
M00967_43_000000000-A3JHG_1_1101_21034_7357	1	F3D8	Early
M00967_43_000000000-A3JHG_1_2104_7953_16691	5	F3D2	Early
M00967_43_000000000-A3JHG_1_2104_7953_16691	3	F3D5	Early
M00967_43_000000000-A3JHG_1_2111_12498_13580	1	F3D2	Early
M00967_43_000000000-A3JHG_1_1112_22806_22503	1	F3D150	Late
M00967_43_000000000-A3JHG_1_2106_14859_14822	1	F3D145	Late
M00967_43_000000000-A3JHG_1_1107_21848_23651	1	F3D148	Late
M00967_43_000000000-A3JHG_1_1107_15765_25536	1	F3D142	Late
M00967_43_000000000-A3JHG_1_1103_12270_15236	1	F3D2	Early
M00967_43_000000000-A3JHG_1_2112_24286_16039	1	F3D7	Early
M00967_43_000000000-A3JHG_1_1114_14716_28079	1	F3D3	Early
M00967_43_000000000-A3JHG_1_2108_19943_26491	1	F3D144	Late
M00967_43_000000000-A3JHG_1_1113_5425_15020	1	F3D145	Late
M00967_43_000000000-A3JHG_1_2112_12631_18383	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2108_19309_25091	1	F3D0	Early
M00967_43_000000000-A3JHG_1_2108_19309_25091	1	F3D141	Late
M00967_43_000000000-A3JHG_1_1102_12417_5953	1	F3D149	Late
M00967_43_000000000-A3JHG_1_1113_17526_24276	1	F3D7	Early
M00967_43_000000000-A3JHG_1_1106_11216_2465	1	F3D145	Late
M00967_43_000000000-A3JHG_1_2111_18507_22576	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2107_12056_5129	3	F3D0	Early
M00967_43_000000000-A3JHG_1_2107_12056_5129	4	F3D145	Late
M00967_43_000000000-A3JHG_1_2107_12056_5129	5	F3D146	Late
M00967_43_000000000-A3JHG_1_2107_12056_5129	1	F3D149	Late
M00967_43_000000000-A3JHG_1_2107_12056_5129	5	F3D2	Early
M00967_43_000000000-A3JHG_1_2107_12056_5129	1	F3D3	Early
M00967_43_000000000-A3JHG_1_2107_12056_5129	1	F3D5	Early
M00967_43_000000000-A3JHG_1_2107_12056_5129	1	F3D7	Early
M00967_43_000000000-A3JHG_1_2106_8030_23327	1	F3D144	Late
M00967_43_000000000-A3JHG_1_1114_12174_8389	1	F3D146	Late
M00967_43_000000000-A3JHG_1_1103_22605_27014	1	F3D147	Late
M00967_43_000000000-A3JHG_1_1103_22605_27014	1	F3D2	Early
M00967_43_000000000-A3JHG_1_2110_23584_15948	1	F3D0	Early
M00967_43_000000000-A3JHG_1_2110_23584_15948	1	F3D142	Late
M00967_43_000000000-A3JHG_1_2110_23584_15948	1	F3D143	Late
M00967_43_000000000-A3JHG_1_2110_23584_15948	12	F3D146	Late
M00967_43_000000000-A3JHG_1_2110_23584_15948	8	F3D149	Late
M00967_43_000000000-A3JHG_1_2110_23584_15948	1	F3D150	Late
M00967_43_000000000-A3JHG_1_2110_23584_15948	9	F3D6	Early
M00967_43_000000000-A3JHG_1_2104_25418_11257	4	F3D0	Early
M00967_43_000000000-A3JHG_1_2104_25418_11257	1	F3D1	Early
M00967_43_000000000-A3JHG_1_2104_25418_11257	2	F3D2	Early
M00967_43_000000000-A3JHG_1_2104_25418_11257	2	F3D9	Early
M00967_43_000000000-A3JHG_1_1114_10373_6011	1	F3D149	Late
M00967_43_000000000-A3JHG_1_2110_18835_13887	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2112_24110_22115	29	F3D141	Late
M00967_43_000000000-A3JHG_1_2112_24110_22115	21	F3D142	Late
M00967_43_000000000-A3JHG_1_2112_24110_22115	21	F3D143	Late
M00967_43_000000000-A3JHG_1_2112_24110_22115	14	F3D144	Late
M00967_43_000000000-A3JHG_1_2112_24110_22115	14	F3D145	Late
M00967_43_000000000-A3JHG_1_2112_24110_22115	5	F3D146	Late
M00967_43_000000000-A3JHG_1_2112_24110_22115	48	F3D147	Late
M00967_43_000000000-A3JHG_1_2112_24110_22115	80	F3D148	Late
M00967_43_000000000-A3JHG_1_2112_24110_22115	32	F3D149	Late
M00967_43_000000000-A3JHG_1_2112_24110_22115	13	F3D150	Late
M00967_43_000000000-A3JHG_1_1113_6556_22579	1	F3D144	Late
M00967_43_000000000-A3JHG_1_1104_19580_19072	1	F3D9	Early
M00967_43_000000000-A3JHG_1_1109_5351_11203	1	F3D1	Early
M00967_43_000000000-A3JHG_1_1107_22428_23154	1	F3D144	Late
M00967_43_000000000-A3JHG_1_1109_23907_9171	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2108_19974_4752	1	F3D149	Late
M00967_43_000000000-A3JHG_1_2104_14075_7093	1	F3D148	Late
M00967_43_000000000-A3JHG_1_2108_17613_16563	26	F3D1	Early
M00967_43_000000000-A3JHG_1_2108_17613_16563	3	F3D141	Late
M00967_43_000000000-A3JHG_1_2108_17613_16563	1	F3D142	Late
M00967_43_000000000-A3JHG_1_2108_17613_16563	3	F3D143	Late
M00967_43_000000000-A3JHG_1_2108_17613_16563	3	F3D145	Late
M00967_43_000000000-A3JHG_1_2108_17613_16563	3	F3D146	Late
M00967_43_000000000-A3JHG_1_2108_17613_16563	14	F3D147	Late
M00967_43_000000000-A3JHG_1_2108_17613_16563	11	F3D148	Late
M00967_43_000000000-A3JHG_1_2108_17613_16563	6	F3D149	Late
M00967_43_000000000-A3JHG_1_2108_17613_16563	2	F3D2	Early
M00967_43_000000000-A3JHG_1_2108_17613_16563	11	F3D3	Early
M00967_43_000000000-A3JHG_1_2108_17613_16563	15	F3D5	Early
M00967_43_000000000-A3JHG_1_2108_17613_16563	14	F3D6	Early
M00967_43_000000000-A3JHG_1_2108_17613_16563	14	F3D7	Early
M00967_43_000000000-A3JHG_1_2108_17613_16563	11	F3D8	Early
M00967_43_000000000-A3JHG_1_2108_17613_16563	8	F3D9	Early
M00967_43_000000000-A3JHG_1_2110_8800_5111	1	F3D9	Early
M00967_43_000000000-A3JHG_1_2113_7343_26333	1	F3D148	Late
M00967_43_000000000-A3JHG_1_2110_16325_18649	1	F3D146	Late
M00967_43_000000000-A3JHG_1_1103_22686_12139	1	F3D142	Late
M00967_43_000000000-A3JHG_1_2112_21004_8857	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2114_16137_10353	1	F3D5	Early
M00967_43_000000000-A3JHG_1_2108_15232_28922	1	F3D8	Early
M00967_43_000000000-A3JHG_1_1104_17110_15247	2	F3D141	Late
M00967_43_000000000-A3JHG_1_1104_17110_15247	3	F3D144	Late
M00967_43_000000000-A3JHG_1_1104_17110_15247	9	F3D146	Late
M00967_43_000000000-A3JHG_1_1104_17110_15247	6	F3D150	Late
M00967_43_000000000-A3JHG_1_2104_15263_18242	1	F3D0	Early
M00967_43_000000000-A3JHG_1_2104_15263_18242	1	F3D142	Late
M00967_43_000000000-A3JHG_1_2104_15263_18242	1	F3D143	Late
M00967_43_000000000-A3JHG_1_2104_15263_18242	1	F3D145	Late
M00967_43_000000000-A3JHG_1_2104_15263_18242	2	F3D147	Late
M00967_43_000000000-A3JHG_1_2104_15263_18242	1	F3D148	Late
M00967_43_000000000-A3JHG_1_2104_15263_18242	1	F3D5	Early
M00967_43_000000000-A3JHG_1_2104_15263_18242	1	F3D8	Early
M00967_43_000000000-A3JHG_1_1110_24996_20556	1	F3D150	Late
M00967_43_000000000-A3JHG_1_1112_25301_17173	1	F3D145	Late
M00967_43_000000000-A3JHG_1_1105_25410_11631	1	F3D143	Late
M00967_43_000000000-A3JHG_1_1109_24246_18294	1	F3D8	Early
M00967_43_000000000-A3JHG_1_1113_28094_17280	1	F3D6	Early
M00967_43_000000000-A3JHG_1_1113_10248_22431	1	F3D6	Early
M00967_43_000000000-A3JHG_1_1109_13493_4507	1	F3D3	Early
M00967_43_000000000-A3JHG_1_2107_22934_10355	1	F3D6	Early
M00967_43_000000000-A3JHG_1_2104_21039_10813	1	F3D149	Late
M00967_43_000000000-A3JHG_1_2102_12782_8845	1	F3D1	Early
M00967_43_000000000-A3JHG_1_1111_8141_21233	1	F3D148	Late
M00967_43_000000000-A3JHG_1_1111_6250_5987	1	F3D149	Late
M00967_43_000000000-A3JHG_1_1110_26976_19838	1	F3D144	Late
M00967_43_000000000-A3JHG_1_2109_3291_16466	1	F3D1	Early
M00967_43_000000000-A3JHG_1_1107_27450_19498	6	F3D143	Late
M00967_43_000000000-A3JHG_1_1107_27450_19498	17	F3D145	Late
M00967_43_000000000-A3JHG_1_1107_27450_19498	9	F3D146	Late
M00967_43_000000000-A3JHG_1_1111_21999_17538	1	F3D149	Late
M00967_43_000000000-A3JHG_1_2102_17791_24913	1	F3D9	Early
M00967_43_000000000-A3JHG_1_1104_11751_17981	1	F3D145	Late
M00967_43_000000000-A3JHG_1_1102_6774_6343	1	F3D7	Early
M00967_43_000000000-A3JHG_1_2103_16795_27764	1	F3D148	Late
M00967_43_000000000-A3JHG_1_1111_25442_13485	1	F3D145	Late
M00967_43_000000000-A3JHG_1_1111_5994_19726	1	F3D147	Late
M00967_43_000000000-A3JHG_1_1111_13965_8116	1	F3D149	Late
M00967_43_000000000-A3JHG_1_1109_8911_22008	1	F3D145	Late
M00967_43_000000000-A3JHG_1_1113_7278_14313	1	F3D142	Late
M00967_43_000000000-A3JHG_1_2101_14628_22758	4	F3D141	Late
M00967_43_000000000-A3JHG_1_2101_14628_22758	4	F3D145	Late
M00967_43_000000000-A3JHG_1_2101_14628_22758	12	F3D150	Late
M00967_43_000000000-A3JHG_1_2101_14628_22758	1	F3D2	Early
M00967_43_000000000-A3JHG_1_2101_14628_22758	22	F3D5	Early
M00967_43_000000000-A3JHG_1_2101_14628_22758	26	F3D6	Early
M00967_43_000000000-A3JHG_1_1107_18906_15466	1	F3D144	Late
M00967_43_000000000-A3JHG_1_1106_28442_12734	1	F3D3	Early
M00967_43_000000000-A3JHG_1_2113_10242_4487	1	F3D143	Late
M00967_43_000000000-A3JHG_1_1112_24118_19062	35	F3D0	Early
M00967_43_000000000-A3JHG_1_1112_24118_19062	44	F3D1	Early
M00967_43_000000000-A3JHG_1_1112_24118_19062	3	F3D141	Late
M00967_43_000000000-A3JHG_1_1112_24118_19062	4	F3D142	Late
M00967_43_000000000-A3JHG_1_1112_24118_19062	1	F3D143	Late
M00967_43_000000000-A3JHG_1_1112_24118_19062	1	F3D144	Late
M00967_43_000000000-A3JHG_1_1112_24118_19062	5	F3D146	Late
M00967_43_000000000-A3JHG_1_1112_24118_19062	20	F3D147	Late
M00967_43_000000000-A3JHG_1_1112_24118_19062	2	F3D148	Late
M00967_43_000000000-A3JHG_1_1112_24118_19062	11	F3D149	Late
M00967_43_000000000-A3JHG_1_1112_24118_19062	5	F3D150	Late
M00967_43_000000000-A3JHG_1_1112_24118_19062	135	F3D2	Early
M00967_43_000000000-A3JHG_1_1112_24118_19062	11	F3D3	Early
M00967_43_000000000-A3JHG_1_1112_24118_19062	41	F3D5	Early
M00967_43_000000000-A3JHG_1_1112_24118_19062	46	F3D6	Early
M00967_43_000000000-A3JHG_1_1112_24118_19062	48	F3D8	Early
M00967_43_000000000-A3JHG_1_1112_24118_19062	93	F3D9	Early
M00967_43_000000000-A3JHG_1_1113_13413_8142	1	F3D148	Late
M00967_43_000000000-A3JHG_1_2110_9069_16610	1	F3D0	Early
M00967_43_000000000-A3JHG_1_2103_11954_7925	1	F3D141	Late
M00967_43_000000000-A3JHG_1_2103_11954_7925	4	F3D147	Late
M00967_43_000000000-A3JHG_1_2103_11954_7925	3	F3D7	Early
M00967_43_000000000-A3JHG_1_2108_20757_5103	1	F3D149	Late
M00967_43_000000000-A3JHG_1_2104_8663_16101	1	F3D8	Early
M00967_43_000000000-A3JHG_1_1102_27953_19313	1	F3D144	Late
M00967_43_000000000-A3JHG_1_1104_22299_24998	1	F3D149	Late
M00967_43_000000000-A3JHG_1_1114_26968_12650	1	F3D0	Early
M00967_43_000000000-A3JHG_1_2112_10029_17181	1	F3D3	Early
M00967_43_000000000-A3JHG_1_2109_20252_6302	1	F3D1	Early
M00967_43_000000000-A3JHG_1_2102_27795_15713	1	F3D141	Late
M00967_43_000000000-A3JHG_1_1114_23055_10307	1	F3D0	Early
M00967_43_000000000-A3JHG_1_1111_17819_12937	12	F3D0	Early
M00967_43_000000000-A3JHG_1_1111_17819_12937	9	F3D1	Early
M00967_43_000000000-A3JHG_1_1111_17819_12937	3	F3D141	Late
M00967_43_000000000-A3JHG_1_1111_17819_12937	2	F3D143	Late
M00967_43_000000000-A3JHG_1_1111_17819_12937	1	F3D144	Late
M00967_43_000000000-A3JHG_1_1111_17819_12937	6	F3D145	Late
M00967_43_000000000-A3JHG_1_1111_17819_12937	4	F3D146	Late
M00967_43_000000000-A3JHG_1_1111_17819_12937	7	F3D147	Late
M00967_43_000000000-A3JHG_1_1111_17819_12937	4	F3D148	Late
M00967_43_000000000-A3JHG_1_1111_17819_12937	13	F3D149	Late
M00967_43_000000000-A3JHG_1_1111_17819_12937	6	F3D150	Late
M00967_43_000000000-A3JHG_1_1111_17819_12937	3	F3D2	Early
M00967_43_000000000-A3JHG_1_1111_17819_12937	1	F3D5	Early
M00967_43_000000000-A3JHG_1_1111_17819_12937	2	F3D7	Early
M00967_43_000000000-A3JHG_1_1111_17819_12937	12	F3D8	Early
M00967_43_000000000-A3JHG_1_1111_17819_12937	7	F3D9	Early
M00967_43_000000000-A3JHG_1_2106_6909_9337	1	F3D141	Late
M00967_43_000000000-A3JHG_1_1104_12675_27249	1	F3D143	Late
M00967_43_000000000-A3JHG_1_2102_5706_8003	1	F3D150	Late
M00967_43_000000000-A3JHG_1_2106_20224_25526	1	F3D145	Late
M00967_43_000000000-A3JHG_1_1107_27189_20696	1	F3D1	Early
M00967_43_000000000-A3JHG_1_2106_19951_19593	1	F3D146	Late
M00967_43_000000000-A3JHG_1_1105_5158_15329	60	F3D0	Early
M00967_43_000000000-A3JHG_1_1105_5158_15329	57	F3D1	Early
M00967_43_000000000-A3JHG_1_1105_5158_15329	6	F3D141	Late
M00967_43_000000000-A3JHG_1_1105_5158_15329	4	F3D142	Late
M00967_43_000000000-A3JHG_1_1105_5158_15329	3	F3D143	Late
M00967_43_000000000-A3JHG_1_1105_5158_15329	3	F3D144	Late
M00967_43_000000000-A3JHG_1_1105_5158_15329	5	F3D145	Late
M00967_43_000000000-A3JHG_1_1105_5158_15329	18	F3D146	Late
M00967_43_000000000-A3JHG_1_1105_5158_15329	5	F3D147	Late
M00967_43_000000000-A3JHG_1_1105_5158_15329	9	F3D148	Late
M00967_43_000000000-A3JHG_1_1105_5158_15329	8	F3D149	Late
M00967_43_000000000-A3JHG_1_1105_5158_15329	6	F3D150	Late
M00967_43_000000000-A3JHG_1_1105_5158_15329	299	F3D2	Early
M00967_43_000000000-A3JHG_1_1105_5158_15329	31	F3D3	Early
M00967_43_000000000-A3JHG_1_1105_5158_15329	44	F3D5	Early
M00967_43_000000000-A3JHG_1_1105_5158_15329	51	F3D6	Early
M00967_43_000000000-A3JHG_1_1105_5158_15329	10	F3D7	Early
M00967_43_000000000-A3JHG_1_1105_5158_15329	48	F3D8	Early
M00967_43_000000000-A3JHG_1_1105_5158_15329	30	F3D9	Early
M00967_43_000000000-A3JHG_1_2114_20314_10028	1	F3D143	Late
M00967_43_000000000-A3JHG_1_2105_15118_19690	1	F3D149	Late
M00967_43_000000000-A3JHG_1_2106_11123_12964	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2104_14573_20188	1	F3D147	Late
M00967_43_000000000-A3JHG_1_1104_21881_13416	1	F3D2	Early
M00967_43_000000000-A3JHG_1_2105_26628_10360	3	F3D0	Early
M00967_43_000000000-A3JHG_1_2108_23299_14833	1	F3D3	Early
M00967_43_000000000-A3JHG_1_2109_11177_4507	1	F3D142	Late
M00967_43_000000000-A3JHG_1_2103_12547_24481	1	F3D8	Early
M00967_43_000000000-A3JHG_1_1108_27464_20152	1	F3D145	Late
M00967_43_000000000-A3JHG_1_1112_25875_17229	1	F3D2	Early
M00967_43_000000000-A3JHG_1_2112_9093_4236	1	F3D149	Late
M00967_43_000000000-A3JHG_1_2114_13345_25809	1	F3D5	Early
M00967_43_000000000-A3JHG_1_2106_17640_11873	1	F3D5	Early
M00967_43_000000000-A3JHG_1_2101_13474_15202	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2113_15752_12601	1	F3D2	Early
M00967_43_000000000-A3JHG_1_1113_16063_11536	1	F3D149	Late
M00967_43_000000000-A3JHG_1_2102_22381_10329	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2102_22381_10329	1	F3D6	Early
M00967_43_000000000-A3JHG_1_1104_5923_11043	1	F3D147	Late
M00967_43_000000000-A3JHG_1_1113_4318_16941	5	F3D149	Late
M00967_43_000000000-A3JHG_1_1113_4318_16941	1	F3D9	Early
M00967_43_000000000-A3JHG_1_2112_10008_8529	1	F3D148	Late
M00967_43_000000000-A3JHG_1_1111_16200_26616	1	F3D144	Late
M00967_43_000000000-A3JHG_1_1102_17763_13764	1	F3D0	Early
M00967_43_000000000-A3JHG_1_1102_17763_13764	3	F3D1	Early
M00967_43_000000000-A3JHG_1_1102_17763_13764	1	F3D141	Late
M00967_43_000000000-A3JHG_1_1102_17763_13764	1	F3D144	Late
M00967_43_000000000-A3JHG_1_1102_17763_13764	1	F3D145	Late
M00967_43_000000000-A3JHG_1_1102_17763_13764	2	F3D146	Late
M00967_43_000000000-A3JHG_1_1102_17763_13764	1	F3D147	Late
M00967_43_000000000-A3JHG_1_1102_17763_13764	3	F3D148	Late
M00967_43_000000000-A3JHG_1_1102_17763_13764	1	F3D149	Late
M00967_43_000000000-A3JHG_1_1102_17763_13764	1	F3D5	Early
M00967_43_000000000-A3JHG_1_1102_17763_13764	1	F3D8	Early
M00967_43_000000000-A3JHG_1_1102_17763_13764	2	F3D9	Early
M00967_43_000000000-A3JHG_1_1108_18791_11806	1	F3D7	Early
M00967_43_000000000-A3JHG_1_1109_7257_15397	1	F3D3	Early
M00967_43_000000000-A3JHG_1_1112_11506_10347	1	F3D1	Early
M00967_43_000000000-A3JHG_1_2105_9580_7709	1	F3D5	Early
M00967_43_000000000-A3JHG_1_1105_10343_20641	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2103_24284_21559	1	F3D149	Late
M00967_43_000000000-A3JHG_1_1105_9374_22772	1	F3D148	Late
M00967_43_000000000-A3JHG_1_1102_18244_26058	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2112_12749_8826	1	F3D2	Early
M00967_43_000000000-A3JHG_1_1113_6268_10349	1	F3D150	Late
M00967_43_000000000-A3JHG_1_1105_14935_17739	1	F3D9	Early
M00967_43_000000000-A3JHG_1_2112_7693_18206	1	F3D144	Late
M00967_43_000000000-A3JHG_1_1103_7866_21570	1	F3D150	Late
M00967_43_000000000-A3JHG_1_2108_25681_15613	10	F3D0	Early
M00967_43_000000000-A3JHG_1_2108_25681_15613	21	F3D1	Early
M00967_43_000000000-A3JHG_1_2108_25681_15613	7	F3D141	Late
M00967_43_000000000-A3JHG_1_2108_25681_15613	1	F3D142	Late
M00967_43_000000000-A3JHG_1_2108_25681_15613	1	F3D143	Late
M00967_43_000000000-A3JHG_1_2108_25681_15613	4	F3D144	Late
M00967_43_000000000-A3JHG_1_2108_25681_15613	5	F3D145	Late
M00967_43_000000000-A3JHG_1_2108_25681_15613	6	F3D146	Late
M00967_43_000000000-A3JHG_1_2108_25681_15613	8	F3D147	Late
M00967_43_000000000-A3JHG_1_2108_25681_15613	9	F3D148	Late
M00967_43_000000000-A3JHG_1_2108_25681_15613	19	F3D149	Late
M00967_43_000000000-A3JHG_1_2108_25681_15613	6	F3D150	Late
M00967_43_000000000-A3JHG_1_2108_25681_15613	71	F3D2	Early
M00967_43_000000000-A3JHG_1_2108_25681_15613	15	F3D3	Early
M00967_43_000000000-A3JHG_1_2108_25681_15613	31	F3D5	Early
M00967_43_000000000-A3JHG_1_2108_25681_15613	36	F3D6	Early
M00967_43_000000000-A3JHG_1_2108_25681_15613	28	F3D7	Early
M00967_43_000000000-A3JHG_1_2108_25681_15613	35	F3D8	Early
M00967_43_000000000-A3JHG_1_2108_25681_15613	52	F3D9	Early
M00967_43_000000000-A3JHG_1_2103_6845_19452	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2108_27865_15182	1	F3D3	Early
M00967_43_000000000-A3JHG_1_2114_17435_3730	1	F3D147	Late
M00967_43_000000000-A3JHG_1_1107_19088_18601	16	F3D0	Early
M00967_43_000000000-A3JHG_1_1107_19088_18601	17	F3D1	Early
M00967_43_000000000-A3JHG_1_1107_19088_18601	1	F3D141	Late
